group,variable,value
SuperDuperKyle,16:10,0
SuperDuperKyle,16:20,0
SuperDuperKyle,16:30,0
SuperDuperKyle,16:40,0
SuperDuperKyle,16:50,0
SuperDuperKyle,17:00,0
SuperDuperKyle,17:10,0
SuperDuperKyle,17:20,0
SuperDuperKyle,17:30,0
SuperDuperKyle,17:40,0
SuperDuperKyle,17:50,100
SuperDuperKyle,18:00,10
SuperDuperKyle,18:10,10
SuperDuperKyle,18:20,10
SuperDuperKyle,18:30,10
SuperDuperKyle,18:40,10
SuperDuperKyle,18:50,0
SuperDuperKyle,19:00,0
Kali Uchis,12:30,0
Kali Uchis,12:40,0
Kali Uchis,12:50,0
Kali Uchis,13:00,0
Kali Uchis,13:10,0
Kali Uchis,13:20,0
Kali Uchis,13:30,0
Kali Uchis,13:40,0
Kali Uchis,13:50,0
Kali Uchis,14:00,0
Kali Uchis,14:10,0
Kali Uchis,14:20,0
Kali Uchis,14:30,0
Kali Uchis,14:40,0
Kali Uchis,14:50,0
Kali Uchis,15:00,0
Kali Uchis,15:10,0
Kali Uchis,15:20,0
Kali Uchis,15:30,0
Kali Uchis,15:40,0
Kali Uchis,15:50,0
Kali Uchis,16:00,0
Kali Uchis,16:10,0
Kali Uchis,16:20,0
Kali Uchis,16:30,0
Kali Uchis,16:40,0
Kali Uchis,16:50,0
Kali Uchis,17:00,20
Kali Uchis,17:10,20
Kali Uchis,17:20,20
Kali Uchis,17:30,20
Kali Uchis,17:40,20
Kali Uchis,17:50,0
Kali Uchis,18:00,0
Kali Uchis,18:10,0
Kali Uchis,18:20,0
Kali Uchis,18:30,0
Kali Uchis,18:40,0
Kali Uchis,18:50,0
Kali Uchis,19:00,0
Tank and the Bangas,12:30,0
Tank and the Bangas,12:40,0
Tank and the Bangas,12:50,0
Tank and the Bangas,13:00,0
Tank and the Bangas,13:10,0
Tank and the Bangas,13:20,0
Tank and the Bangas,13:30,0
Tank and the Bangas,13:40,0
Tank and the Bangas,13:50,0
Tank and the Bangas,14:00,0
Tank and the Bangas,14:10,0
Tank and the Bangas,14:20,0
Tank and the Bangas,14:30,0
Tank and the Bangas,14:40,0
Tank and the Bangas,14:50,0
Tank and the Bangas,15:00,0
Tank and the Bangas,15:10,0
Tank and the Bangas,15:20,0
Tank and the Bangas,15:30,0
Tank and the Bangas,15:40,0
Tank and the Bangas,15:50,0
Tank and the Bangas,16:00,0
Tank and the Bangas,16:10,0
Tank and the Bangas,16:20,0
Tank and the Bangas,16:30,0
Tank and the Bangas,16:40,0
Tank and the Bangas,16:50,100
Tank and the Bangas,17:00,100
Tank and the Bangas,17:10,100
Tank and the Bangas,17:20,100
Tank and the Bangas,17:30,100
Tank and the Bangas,17:40,100
Tank and the Bangas,17:50,0
Tank and the Bangas,18:00,0
Tank and the Bangas,18:10,0
Tank and the Bangas,18:20,0
Tank and the Bangas,18:30,0
Tank and the Bangas,18:40,0
Tank and the Bangas,18:50,0
Tank and the Bangas,19:00,0
Los Angeles Azules,12:30,0
Los Angeles Azules,12:40,0
Los Angeles Azules,12:50,0
Los Angeles Azules,13:00,0
Los Angeles Azules,13:10,0
Los Angeles Azules,13:20,0
Los Angeles Azules,13:30,0
Los Angeles Azules,13:40,0
